order_id,order_date,sales,quantity,discount,profit,region,state,city_type,outlet_type,category,sub_category,segment,ship_mode
ORD000039,2021-02-25,7903.34,3,0.06,1187.42,North,Uttar Pradesh,Tier 1,Medium,Electric Appliances,Fans,Consumer,Standard Class
ORD000040,2021-09-23,23667.32,2,0.07,3631.17,South,Gujarat,Village,Large,Household Items,Mops,Corporate,First Class
ORD000041,2023-02-09,39762.15,10,0.03,6437.84,North,Punjab,Tier 2,Large,Furniture,Chairs,Corporate,Same Day
ORD000042,2019-03-21,10843.03,7,0.08,2550.74,North,Punjab,Tier 1,Medium,Dairy Products,Cheese,Consumer,Second Class
ORD000043,2022-07-15,35014.14,8,0.19,6929.86,South,Delhi,Tier 1,Small,Fast Food,Sandwiches,Consumer,Standard Class
ORD000044,2021-10-21,49912.22,3,0.0,7076.5,North,Karnataka,Tier 2,Medium,Dairy Products,Yogurt,Corporate,First Class
ORD000045,2021-11-25,11595.62,6,0.02,1819.63,East,Tamil Nadu,Tier 2,Small,Fast Food,Pizzas,Consumer,First Class
ORD000046,2023-08-16,40938.72,7,0.32,4902.81,North,Karnataka,Village,Medium,Electric Appliances,Refrigerators,Consumer,First Class
ORD000047,2019-11-25,43356.81,10,0.14,6415.0,West,Rajasthan,Tier 2,Small,Sessional Fruits & Vegetables,Mangoes,Corporate,Standard Class
ORD000048,2020-02-12,37449.42,1,0.4,5330.17,East,West Bengal,Village,Small,Dairy Products,Butter,Consumer,Same Day
ORD000049,2021-07-07,378.65,6,0.44,30.32,North,West Bengal,Village,Large,Electric Appliances,Washing Machines,Consumer,First Class
ORD000050,2020-01-20,4596.06,1,0.09,566.91,West,Karnataka,Village,Small,Household Items,Detergents,Corporate,Standard Class
ORD000051,2020-05-20,15945.03,9,0.41,2139.78,East,Rajasthan,Tier 1,Large,Household Items,Utensils,Consumer,Second Class
ORD000052,2020-02-14,45056.72,5,0.25,4495.91,East,Uttar Pradesh,Village,Small,Household Items,Buckets,Corporate,Same Day
ORD000053,2019-03-13,14187.47,8,0.17,3102.02,East,Rajasthan,Tier 2,Small,Dairy Products,Yogurt,Consumer,Standard Class
ORD000054,2023-06-20,3119.4,9,0.1,399.27,West,Rajasthan,Tier 2,Large,Sessional Fruits & Vegetables,Mangoes,Corporate,Standard Class
ORD000055,2020-10-07,5552.12,1,0.17,601.64,West,Rajasthan,Tier 1,Large,Household Items,Buckets,Corporate,Standard Class
ORD000056,2022-03-22,46089.88,3,0.32,3186.9,East,Karnataka,Village,Small,Electric Appliances,Washing Machines,Corporate,Same Day
ORD000057,2021-11-09,41202.61,3,0.38,3039.9,South,Karnataka,Tier 2,Medium,Dairy Products,Cheese,Consumer,Same Day
ORD000058,2019-06-26,35606.55,4,0.42,3162.47,East,Punjab,Village,Small,Electric Appliances,Washing Machines,Consumer,Standard Class
ORD000059,2021-05-04,25717.31,7,0.08,4469.55,North,West Bengal,Village,Large,Dairy Products,Cheese,Corporate,First Class
ORD000060,2020-08-06,18052.48,2,0.35,1386.25,North,Gujarat,Tier 2,Medium,Dairy Products,Milk,Corporate,First Class
ORD000061,2019-08-01,24074.86,1,0.14,4149.35,North,West Bengal,Tier 1,Large,Furniture,Tables,Corporate,Second Class
ORD000062,2020-05-12,17103.72,10,0.35,1522.18,East,Gujarat,Tier 1,Large,Dairy Products,Yogurt,Consumer,Same Day
ORD000063,2023-07-15,33223.0,2,0.47,4928.08,South,West Bengal,Tier 1,Large,Sessional Fruits & Vegetables,Mangoes,Corporate,Standard Class
ORD000064,2020-06-09,5549.65,3,0.29,563.06,South,Madhya Pradesh,Village,Large,Electric Appliances,Microwaves,Consumer,First Class
ORD000065,2022-04-19,1941.21,7,0.24,303.42,West,Punjab,Village,Medium,Furniture,Sofas,Consumer,First Class
ORD000066,2020-07-22,5961.75,10,0.47,403.06,North,Maharashtra,Tier 2,Large,Household Items,Utensils,Consumer,Same Day
ORD000067,2019-01-05,15033.44,3,0.15,2058.14,West,Madhya Pradesh,Village,Large,Electric Appliances,Fans,Corporate,First Class
ORD000068,2021-09-07,21552.93,5,0.37,1492.29,East,Uttar Pradesh,Village,Medium,Electric Appliances,Fans,Consumer,Second Class
ORD000069,2023-05-01,4878.15,7,0.31,468.53,North,Uttar Pradesh,Tier 2,Medium,Dairy Products,Cheese,Corporate,First Class
ORD000070,2022-06-07,46801.69,10,0.45,6319.46,East,Karnataka,Tier 2,Medium,Dairy Products,Milk,Corporate,Same Day
ORD000071,2023-08-06,22971.7,1,0.29,3182.37,North,Madhya Pradesh,Village,Small,Fast Food,Fries,Corporate,Second Class
ORD000072,2021-05-21,49342.22,10,0.29,7270.12,West,Maharashtra,Tier 1,Medium,Sessional Fruits & Vegetables,Tomatoes,Corporate,Standard Class
ORD000073,2022-01-12,4357.85,4,0.38,299.28,South,Karnataka,Tier 2,Large,Fast Food,Pizzas,Corporate,Standard Class
ORD000074,2023-11-20,37866.05,1,0.07,9406.68,West,Maharashtra,Tier 1,Small,Electric Appliances,Fans,Corporate,Same Day
ORD000075,2022-09-24,10613.65,6,0.04,2632.64,South,Tamil Nadu,Tier 2,Large,Fast Food,Fries,Consumer,First Class
ORD000076,2021-12-14,34132.43,6,0.04,8067.39,West,Madhya Pradesh,Tier 1,Small,Electric Appliances,Fans,Corporate,Same Day
ORD000077,2023-01-09,32935.9,8,0.38,5988.54,West,Rajasthan,Village,Medium,Dairy Products,Butter,Consumer,Standard Class
ORD000078,2021-12-11,22501.5,9,0.49,2189.44,West,Uttar Pradesh,Tier 2,Small,Fast Food,Pizzas,Corporate,First Class
ORD000079,2019-06-17,4064.52,10,0.31,369.06,West,Tamil Nadu,Tier 1,Large,Dairy Products,Cheese,Corporate,Standard Class
ORD000080,2020-06-21,19218.16,3,0.22,2588.25,North,Karnataka,Tier 2,Small,Furniture,Tables,Corporate,Second Class
ORD000081,2021-05-30,21489.08,2,0.25,2286.15,North,West Bengal,Tier 2,Large,Dairy Products,Yogurt,Corporate,First Class
ORD000082,2022-12-02,2183.3,3,0.49,205.17,East,Gujarat,Village,Large,Electric Appliances,Microwaves,Consumer,Second Class
ORD000083,2023-01-15,4252.58,2,0.04,830.09,West,Punjab,Tier 1,Large,Fast Food,Burgers,Corporate,Standard Class
ORD000084,2020-03-15,12502.21,10,0.49,1738.42,South,Delhi,Tier 2,Large,Electric Appliances,Refrigerators,Consumer,Standard Class
ORD000085,2019-02-20,44441.84,5,0.5,4751.11,East,Maharashtra,Tier 2,Medium,Household Items,Utensils,Consumer,Standard Class
ORD000086,2021-08-21,2951.07,8,0.37,504.53,East,Uttar Pradesh,Village,Small,Dairy Products,Yogurt,Corporate,Standard Class
ORD000087,2021-07-09,33732.85,7,0.3,5107.71,West,Tamil Nadu,Tier 1,Small,Dairy Products,Yogurt,Corporate,Second Class
ORD000088,2019-06-23,2190.27,4,0.03,599.14,East,Uttar Pradesh,Village,Medium,Sessional Fruits & Vegetables,Tomatoes,Consumer,First Class
ORD000089,2020-03-21,49298.05,8,0.02,7957.55,South,Gujarat,Tier 1,Small,Electric Appliances,Refrigerators,Consumer,Second Class
ORD000090,2019-06-01,18541.08,3,0.45,2815.08,North,West Bengal,Tier 1,Small,Fast Food,Sandwiches,Corporate,Second Class
ORD000091,2021-10-11,14362.94,7,0.41,2417.72,North,Madhya Pradesh,Tier 2,Small,Sessional Fruits & Vegetables,Tomatoes,Consumer,Same Day
ORD000092,2022-11-25,22134.74,2,0.39,2313.97,East,Punjab,Tier 1,Medium,Furniture,Sofas,Consumer,First Class
ORD000093,2023-01-11,3485.44,1,0.01,535.1,East,Karnataka,Tier 1,Medium,Household Items,Detergents,Corporate,Same Day
ORD000094,2022-04-21,13846.12,3,0.37,2195.95,South,West Bengal,Tier 2,Small,Furniture,Sofas,Corporate,Second Class
ORD000095,2022-02-25,31236.77,1,0.0,7427.19,West,Karnataka,Tier 2,Medium,Household Items,Detergents,Corporate,Second Class
ORD000096,2020-10-19,40544.54,8,0.03,7015.28,North,Uttar Pradesh,Tier 1,Medium,Fast Food,Burgers,Corporate,Same Day
ORD000097,2023-03-30,45706.34,1,0.08,6356.72,North,West Bengal,Village,Small,Dairy Products,Butter,Corporate,Second Class
ORD000098,2021-01-11,3718.28,4,0.3,685.51,East,Uttar Pradesh,Tier 1,Medium,Furniture,Chairs,Consumer,Standard Class
ORD000099,2023-05-04,6704.71,8,0.34,1210.03,South,Delhi,Tier 1,Large,Sessional Fruits & Vegetables,Mangoes,Corporate,Standard Class
ORD000100,2019-05-25,3002.3,10,0.25,417.85,West,Punjab,Tier 2,Medium,Furniture,Sofas,Corporate,Second Class
ORD000101,2023-06-02,10929.33,7,0.23,1408.71,South,Rajasthan,Tier 1,Medium,Furniture,Tables,Corporate,Same Day
ORD000102,2022-02-13,34572.32,5,0.45,4406.38,East,Punjab,Tier 2,Large,Furniture,Chairs,Consumer,Second Class
ORD000103,2019-06-01,36478.13,9,0.15,5900.74,North,Tamil Nadu,Village,Large,Sessional Fruits & Vegetables,Mangoes,Consumer,Same Day
ORD000104,2022-06-22,26759.07,3,0.38,2039.49,East,Delhi,Tier 1,Small,Fast Food,Pizzas,Consumer,Standard Class
ORD000105,2023-06-14,38898.03,1,0.03,5996.93,North,Uttar Pradesh,Tier 1,Small,Household Items,Utensils,Corporate,Second Class
ORD000106,2020-12-22,36644.28,1,0.01,6567.63,North,Delhi,Village,Medium,Dairy Products,Milk,Corporate,First Class
ORD000107,2019-02-13,25950.92,8,0.47,1509.41,West,Madhya Pradesh,Tier 2,Small,Dairy Products,Milk,Corporate,Second Class
ORD000108,2022-11-28,14299.23,5,0.31,2199.1,West,West Bengal,Tier 1,Large,Electric Appliances,Washing Machines,Consumer,First Class
ORD000109,2021-11-26,6626.91,2,0.47,561.03,South,Madhya Pradesh,Village,Medium,Fast Food,Sandwiches,Corporate,Same Day
ORD000110,2023-01-06,38323.71,3,0.46,4313.36,West,Madhya Pradesh,Tier 1,Large,Electric Appliances,Fans,Consumer,First Class
ORD000111,2019-04-11,26844.64,2,0.1,4129.76,East,West Bengal,Village,Medium,Sessional Fruits & Vegetables,Tomatoes,Consumer,First Class
ORD000112,2021-10-10,697.12,8,0.23,111.76,West,Gujarat,Tier 2,Small,Furniture,Beds,Corporate,First Class
ORD000113,2022-12-28,39346.38,10,0.49,5806.18,South,Maharashtra,Village,Medium,Dairy Products,Cheese,Consumer,Second Class
ORD000114,2022-12-06,44190.67,9,0.48,4514.81,North,Madhya Pradesh,Tier 1,Medium,Furniture,Tables,Corporate,Standard Class
ORD000115,2020-09-30,11761.16,5,0.17,2628.29,West,Uttar Pradesh,Tier 2,Small,Electric Appliances,Microwaves,Corporate,Same Day
ORD000116,2022-10-30,35444.41,2,0.15,7388.0,North,Maharashtra,Tier 2,Small,Sessional Fruits & Vegetables,Mangoes,Corporate,Standard Class
ORD000117,2019-09-13,24067.34,7,0.15,5195.55,North,Madhya Pradesh,Tier 2,Large,Dairy Products,Milk,Consumer,First Class
ORD000118,2023-01-10,793.12,10,0.18,169.7,West,West Bengal,Tier 2,Medium,Dairy Products,Cheese,Corporate,Second Class
ORD000119,2019-07-27,5664.79,6,0.43,346.4,West,Madhya Pradesh,Tier 1,Medium,Household Items,Detergents,Corporate,Standard Class
ORD000120,2021-09-28,26376.62,5,0.49,1834.7,South,West Bengal,Tier 2,Large,Electric Appliances,Washing Machines,Corporate,First Class
ORD000121,2019-03-07,19880.0,3,0.1,2727.73,South,Gujarat,Tier 1,Small,Dairy Products,Milk,Consumer,Standard Class
ORD000122,2022-02-16,1693.77,4,0.28,149.08,West,Madhya Pradesh,Tier 2,Large,Dairy Products,Milk,Consumer,Same Day
ORD000123,2020-04-15,35934.0,3,0.34,4536.47,North,Madhya Pradesh,Tier 2,Large,Dairy Products,Butter,Consumer,Standard Class
ORD000124,2019-10-20,15212.98,4,0.2,3364.93,North,Gujarat,Tier 2,Small,Furniture,Sofas,Corporate,Second Class
ORD000125,2021-09-20,26067.1,10,0.09,3352.04,West,Delhi,Tier 1,Large,Dairy Products,Yogurt,Corporate,Standard Class
ORD000126,2023-12-07,15616.44,4,0.48,950.38,North,West Bengal,Tier 1,Large,Sessional Fruits & Vegetables,Apples,Consumer,Second Class
ORD000127,2022-07-10,14652.53,1,0.19,3384.47,West,Gujarat,Tier 2,Large,Household Items,Mops,Corporate,Second Class
ORD000128,2022-07-05,43133.85,6,0.18,7888.68,North,Tamil Nadu,Village,Medium,Fast Food,Sandwiches,Corporate,Standard Class
ORD000129,2022-04-17,21086.8,10,0.31,1800.15,North,Delhi,Village,Small,Fast Food,Sandwiches,Consumer,First Class
ORD000130,2020-06-12,2435.15,8,0.22,347.69,North,Uttar Pradesh,Tier 1,Small,Household Items,Utensils,Consumer,Same Day
ORD000131,2021-12-22,10798.16,1,0.43,1577.26,North,Karnataka,Village,Small,Household Items,Utensils,Consumer,Second Class
ORD000132,2019-10-08,24579.38,2,0.47,3043.99,North,Maharashtra,Tier 2,Small,Household Items,Utensils,Corporate,Same Day
ORD000133,2020-12-18,38746.73,8,0.07,10255.51,South,West Bengal,Tier 2,Small,Electric Appliances,Refrigerators,Corporate,First Class
ORD000134,2023-06-29,45799.71,10,0.08,8173.83,South,Delhi,Tier 1,Small,Furniture,Beds,Consumer,Standard Class
ORD000135,2019-12-27,35224.11,4,0.06,3465.07,North,West Bengal,Village,Medium,Sessional Fruits & Vegetables,Mangoes,Consumer,Same Day
ORD000136,2021-02-28,21031.68,1,0.46,1817.23,South,Tamil Nadu,Village,Small,Dairy Products,Milk,Consumer,Same Day
ORD000137,2021-01-23,7574.82,9,0.13,1165.08,North,Karnataka,Tier 1,Medium,Household Items,Detergents,Corporate,Standard Class
ORD000138,2020-12-23,16517.9,4,0.45,2679.8,West,West Bengal,Village,Small,Fast Food,Sandwiches,Corporate,Second Class
ORD000139,2021-12-08,33455.09,3,0.22,6363.52,West,Uttar Pradesh,Tier 1,Small,Sessional Fruits & Vegetables,Apples,Corporate,Same Day
ORD000140,2023-04-17,32844.8,2,0.48,4428.69,North,Punjab,Tier 2,Large,Dairy Products,Butter,Consumer,Second Class
ORD000141,2019-08-03,33973.99,7,0.19,7984.17,South,Uttar Pradesh,Village,Large,Furniture,Tables,Consumer,Standard Class
ORD000142,2023-08-04,46639.02,5,0.45,6652.35,South,Punjab,Tier 1,Medium,Dairy Products,Butter,Corporate,Standard Class
ORD000143,2021-05-11,28889.83,1,0.23,3046.44,West,Punjab,Village,Medium,Household Items,Mops,Consumer,Second Class
ORD000144,2022-09-21,23167.07,9,0.33,1593.57,South,West Bengal,Tier 2,Medium,Furniture,Beds,Consumer,First Class
ORD000145,2021-09-21,42925.93,5,0.3,4541.75,South,Gujarat,Tier 2,Medium,Sessional Fruits & Vegetables,Tomatoes,Corporate,Same Day
ORD000146,2023-04-22,30630.46,7,0.49,4651.85,South,Madhya Pradesh,Tier 2,Small,Dairy Products,Cheese,Corporate,Standard Class
ORD000147,2023-07-22,41485.32,1,0.19,8870.53,East,Tamil Nadu,Tier 1,Large,Household Items,Buckets,Consumer,Second Class
ORD000148,2023-06-22,39234.01,9,0.11,7403.69,South,Uttar Pradesh,Village,Medium,Furniture,Chairs,Consumer,Standard Class
ORD000149,2023-12-19,48153.69,10,0.21,9780.33,South,Karnataka,Village,Small,Electric Appliances,Refrigerators,Corporate,Same Day
ORD000150,2022-11-22,28702.64,1,0.02,3399.35,West,Karnataka,Village,Medium,Dairy Products,Butter,Consumer,Second Class
ORD000151,2019-01-07,32942.88,3,0.35,4394.39,North,Maharashtra,Tier 2,Large,Sessional Fruits & Vegetables,Mangoes,Consumer,Second Class
ORD000152,2022-06-16,42920.24,4,0.49,4170.53,East,Madhya Pradesh,Village,Medium,Electric Appliances,Fans,Consumer,Same Day
ORD000153,2022-11-12,32378.72,10,0.27,2399.46,South,Madhya Pradesh,Village,Medium,Electric Appliances,Microwaves,Corporate,Same Day
ORD000154,2022-05-13,7026.46,8,0.41,954.64,West,Rajasthan,Village,Medium,Furniture,Chairs,Corporate,Standard Class
ORD000155,2020-06-16,189.51,8,0.46,28.65,South,Karnataka,Tier 2,Medium,Household Items,Mops,Consumer,Second Class
ORD000156,2021-03-16,29498.79,6,0.11,4069.44,North,Delhi,Village,Small,Fast Food,Fries,Corporate,First Class
ORD000157,2020-06-10,43763.64,3,0.3,8045.75,East,Maharashtra,Tier 2,Medium,Furniture,Sofas,Corporate,First Class
ORD000158,2019-08-04,28080.71,5,0.42,1924.12,West,Tamil Nadu,Tier 1,Small,Fast Food,Fries,Corporate,Same Day
ORD000159,2022-08-30,37165.6,4,0.28,5426.11,West,Gujarat,Tier 1,Large,Electric Appliances,Refrigerators,Corporate,Second Class
ORD000160,2019-08-05,9054.2,7,0.35,1346.15,South,Punjab,Tier 1,Medium,Dairy Products,Yogurt,Consumer,Second Class
ORD000161,2022-04-01,24201.45,2,0.2,3462.94,North,Punjab,Tier 2,Small,Sessional Fruits & Vegetables,Tomatoes,Corporate,Same Day
ORD000162,2023-11-05,35291.23,10,0.07,6909.57,East,Tamil Nadu,Tier 2,Small,Fast Food,Fries,Consumer,Same Day
ORD000163,2021-09-28,6471.2,5,0.39,699.59,South,Rajasthan,Tier 2,Medium,Household Items,Buckets,Corporate,Second Class
ORD000164,2020-02-21,9454.12,8,0.32,957.6,West,Madhya Pradesh,Village,Medium,Fast Food,Pizzas,Corporate,Same Day
ORD000165,2020-06-13,24400.67,7,0.49,2056.03,North,Madhya Pradesh,Village,Large,Sessional Fruits & Vegetables,Carrots,Consumer,Same Day
ORD000166,2023-02-13,14390.51,2,0.27,1353.94,East,Gujarat,Tier 1,Small,Dairy Products,Butter,Consumer,Same Day
ORD000167,2019-04-24,2302.97,4,0.13,568.05,South,Gujarat,Village,Large,Sessional Fruits & Vegetables,Apples,Consumer,Standard Class
ORD000168,2021-05-03,49201.78,8,0.42,7949.72,West,Karnataka,Tier 2,Large,Fast Food,Pizzas,Consumer,First Class
ORD000169,2022-12-23,10331.5,5,0.41,749.83,North,Maharashtra,Village,Medium,Furniture,Tables,Consumer,Standard Class
ORD000170,2019-09-17,26930.85,5,0.46,2111.02,East,Madhya Pradesh,Village,Large,Dairy Products,Milk,Corporate,Second Class
ORD000171,2021-09-21,17201.66,7,0.05,3857.89,South,Gujarat,Tier 1,Small,Electric Appliances,Refrigerators,Corporate,First Class
ORD000172,2021-08-28,14891.57,3,0.09,3915.29,South,Tamil Nadu,Tier 2,Medium,Dairy Products,Yogurt,Corporate,Standard Class
ORD000173,2022-08-30,18543.66,10,0.19,4144.41,West,Maharashtra,Tier 1,Large,Furniture,Tables,Corporate,Second Class
ORD000174,2019-09-11,40605.58,10,0.22,8045.7,East,West Bengal,Tier 2,Large,Household Items,Mops,Corporate,Second Class
ORD000175,2021-01-07,1919.39,1,0.3,311.26,North,Uttar Pradesh,Village,Large,Household Items,Buckets,Consumer,First Class
ORD000176,2019-05-13,26047.11,1,0.12,2622.63,West,West Bengal,Village,Medium,Electric Appliances,Fans,Consumer,Same Day
ORD000177,2022-04-14,32278.59,1,0.02,4702.26,North,Gujarat,Tier 2,Large,Fast Food,Fries,Consumer,Standard Class
ORD000178,2023-07-25,36785.5,4,0.45,5709.43,West,Madhya Pradesh,Tier 1,Small,Household Items,Utensils,Consumer,Same Day
ORD000179,2022-01-02,36436.9,7,0.46,2689.11,East,West Bengal,Tier 1,Large,Furniture,Chairs,Corporate,Standard Class
ORD000180,2022-03-17,37866.82,3,0.45,6119.52,East,Karnataka,Tier 2,Medium,Household Items,Mops,Consumer,Second Class
ORD000181,2023-01-17,37390.63,4,0.04,10260.31,North,Delhi,Village,Small,Sessional Fruits & Vegetables,Apples,Consumer,Same Day
ORD000182,2023-11-22,21275.13,1,0.24,3138.95,West,Rajasthan,Tier 1,Small,Dairy Products,Butter,Corporate,Standard Class
ORD000183,2019-04-12,14971.65,10,0.1,1597.53,East,Uttar Pradesh,Tier 2,Large,Dairy Products,Yogurt,Corporate,Second Class
ORD000184,2020-06-26,11013.05,5,0.22,1052.08,West,Karnataka,Tier 1,Small,Dairy Products,Butter,Consumer,First Class
ORD000185,2021-08-19,30336.31,5,0.02,5036.71,East,West Bengal,Tier 1,Medium,Electric Appliances,Fans,Consumer,First Class
ORD000186,2020-01-18,37770.09,3,0.3,7260.82,South,Tamil Nadu,Tier 1,Medium,Household Items,Buckets,Consumer,Second Class
ORD000187,2023-04-03,44988.87,10,0.38,4819.17,West,Madhya Pradesh,Village,Medium,Electric Appliances,Refrigerators,Consumer,Second Class
ORD000188,2019-10-01,34227.12,2,0.31,5196.62,East,Rajasthan,Village,Small,Fast Food,Sandwiches,Consumer,First Class
ORD000189,2020-09-17,44830.29,1,0.3,4678.01,South,Delhi,Village,Large,Fast Food,Sandwiches,Corporate,First Class
ORD000190,2021-04-24,33501.11,10,0.41,2680.21,South,Karnataka,Tier 2,Small,Furniture,Beds,Consumer,Second Class
ORD000191,2019-03-06,8040.66,9,0.49,1068.9,West,Maharashtra,Tier 2,Large,Fast Food,Burgers,Corporate,Same Day
ORD000192,2022-12-16,7410.53,1,0.46,443.88,East,Karnataka,Village,Large,Household Items,Buckets,Corporate,Second Class
ORD000193,2020-09-25,15340.33,7,0.11,2650.55,East,Tamil Nadu,Village,Medium,Electric Appliances,Refrigerators,Consumer,Second Class
ORD000194,2020-12-14,49187.75,9,0.11,8137.07,West,Punjab,Tier 1,Medium,Furniture,Chairs,Corporate,Second Class
ORD000195,2021-01-27,41845.8,2,0.3,8634.98,East,Maharashtra,Tier 2,Small,Dairy Products,Cheese,Consumer,Same Day
ORD000196,2019-07-14,42276.88,4,0.11,6998.46,North,Maharashtra,Tier 1,Small,Dairy Products,Cheese,Corporate,First Class
ORD000197,2020-12-30,13581.42,9,0.22,1136.43,South,Gujarat,Tier 1,Large,Dairy Products,Yogurt,Corporate,Standard Class
ORD000198,2022-01-30,20895.23,6,0.03,5059.11,North,Gujarat,Village,Medium,Dairy Products,Cheese,Consumer,Same Day
ORD000199,2022-10-11,11775.25,6,0.29,1847.35,East,Madhya Pradesh,Tier 1,Medium,Fast Food,Burgers,Corporate,Standard Class
ORD000200,2021-07-17,8874.03,10,0.37,586.36,West,Uttar Pradesh,Tier 2,Small,Dairy Products,Milk,Consumer,Standard Class
ORD000201,2020-01-10,24268.74,4,0.24,3793.83,East,Madhya Pradesh,Tier 1,Medium,Electric Appliances,Washing Machines,Consumer,Standard Class
ORD000202,2022-06-04,25130.86,7,0.08,3957.75,East,Delhi,Tier 1,Medium,Fast Food,Fries,Consumer,Standard Class
